bright_flexible_no_apogee_skies_18x1_v2;18;{-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.};{1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.};{-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.};{-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.};{1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1};{0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2};{"bright_time_no_apogee_skies","bright_time_no_apogee_skies"," bright_time_no_apogee_skies","bright_time_no_apogee_skies"," bright_time_no_apogee_skies","bright_time_no_apogee_skies"," bright_time_no_apogee_skies","bright_time_no_apogee_skies"," bright_time_no_apogee_skies","bright_time_no_apogee_skies"," bright_time_no_apogee_skies","bright_time_no_apogee_skies"," bright_time_no_apogee_skies","bright_time_no_apogee_skies"," bright_time_no_apogee_skies","bright_time_no_apogee_skies"," bright_time_no_apogee_skies","bright_time_no_apogee_skies"};bright_flexible_no_apogee_skies_18x1;_v2 
bright_no_apogee_skies_2x2+2x1_v2;4;{0.,30.,30., 3.};{1.,1.,1.,1.};{0.,1800.,1800.,1800.};{0. ,0.5,0.5,0.5};{2,2,1,1};{0.2,0.2,0.2,0.2};{"bright_time_no_apogee_skies","bright_time_no_apogee_skies"," bright_time_no_apogee_skies","bright_time_no_apogee_skies"};bright_no_apogee_skies_2x2+2x1;_v2 
mixed2_single_no_apogee_skies_3x1_v2;3;{0., 3.,-1.};{0.35,0.35,1.};{0.0e+00, 1.8e+03,-1.0e+00};{0. , 0.5,-1.};{1,1,1};{0.2,0.2,0.2};{"dark_plane_no_apogee_skies","dark_plane_no_apogee_skies"," bright_time_no_apogee_skies"};mixed2_single_no_apogee_skies_3x1;_v2 
mixed2_single_no_apogee_skies_4x1_v2;4;{0., 3.,-1.,30.};{0.35,0.35,1.  ,1.};{0.0e+00, 1.8e+03,-1.0e+00, 1.8e+03};{0. , 0.5,-1. , 0.5};{1,1,1,1};{0.2,0.2,0.2,0.2};{"dark_plane_no_apogee_skies","dark_plane_no_apogee_skies"," bright_time_no_apogee_skies","bright_time_no_apogee_skies"};mixed2_single_no_apogee_skies_4x1;_v2 
bright_single_no_apogee_skies_2x2+2x1_v2;4;{0.,30.,30., 3.};{1.,1.,1.,1.};{0.,1800.,1800.,1800.};{0. ,0.5,0.5,0.5};{2,2,1,1};{0.2,0.2,0.2,0.2};{"bright_time_no_apogee_skies","bright_time_no_apogee_skies"," bright_time_no_apogee_skies","bright_time_no_apogee_skies"};bright_single_no_apogee_skies_2x2+2x1;_v2 
mixed2_single_no_apogee_skies_5x1_v2;5;{0., 3.,-1.,30.,30.};{0.35,0.35,1.  ,1.  ,1.};{0.0e+00, 1.8e+03,-1.0e+00, 1.8e+03, 1.8e+03};{0. , 0.5,-1. , 0.5, 0.5};{1,1,1,1,1};{0.2,0.2,0.2,0.2,0.2};{"dark_plane_no_apogee_skies","dark_plane_no_apogee_skies"," bright_time_no_apogee_skies","bright_time_no_apogee_skies"," bright_time_no_apogee_skies"};mixed2_single_no_apogee_skies_5x1;_v2 
bright_no_apogee_skies_3x2+1x1_v2;4;{0.,30.,30., 3.};{1.,1.,1.,1.};{0.,1800.,1800.,1800.};{0. ,0.5,0.5,0.5};{2,2,2,1};{0.2,0.2,0.2,0.2};{"bright_time_no_apogee_skies","bright_time_no_apogee_skies"," bright_time_no_apogee_skies","bright_time_no_apogee_skies"};bright_no_apogee_skies_3x2+1x1;_v2 
bright_single_no_apogee_skies_3x2_v2;3;{0., 3.,27.};{1.,1.,1.};{0.,1800.,1800.};{0. ,0.5,0.5};{2,2,2};{0.2,0.2,0.2};{"bright_time_no_apogee_skies","bright_time_no_apogee_skies"," bright_time_no_apogee_skies"};bright_single_no_apogee_skies_3x2;_v2 
bright_single_no_apogee_skies_3x2+1x1_v2;4;{0.,30.,30., 3.};{1.,1.,1.,1.};{0.,1800.,1800.,1800.};{0. ,0.5,0.5,0.5};{2,2,2,1};{0.2,0.2,0.2,0.2};{"bright_time_no_apogee_skies","bright_time_no_apogee_skies"," bright_time_no_apogee_skies","bright_time_no_apogee_skies"};bright_single_no_apogee_skies_3x2+1x1;_v2 
mixed2_single_no_apogee_skies_18x1_v2;18;{0.,  3., -1., 30., 30.,  3., 27., 30.,240., 30., 30.,  3., 27., 30., 240., 30., 30.,  3.};{0.35,0.35,1.  ,1.  ,1.  ,1.  ,1.  ,1.  ,1.  ,1.  ,1.  ,1.  ,1.  ,1.  , 1.  ,1.  ,1.  ,1.};{0.0e+00, 1.8e+03,-1.0e+00, 1.8e+03, 1.8e+03, 1.8e+03, 1.8e+03, 1.8e+03,  1.8e+03, 1.8e+03, 1.8e+03, 1.8e+03, 1.8e+03, 1.8e+03, 1.8e+03, 1.8e+03,  1.8e+03, 1.8e+03};{0. , 0.5,-1. , 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5,  0.5, 0.5, 0.5, 0.5};{1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1};{0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2};{"dark_plane_no_apogee_skies","dark_plane_no_apogee_skies"," bright_time_no_apogee_skies","bright_time_no_apogee_skies"," bright_time_no_apogee_skies","bright_time_no_apogee_skies"," bright_time_no_apogee_skies","bright_time_no_apogee_skies"," bright_time_no_apogee_skies","bright_time_no_apogee_skies"," bright_time_no_apogee_skies","bright_time_no_apogee_skies"," bright_time_no_apogee_skies","bright_time_no_apogee_skies"," bright_time_no_apogee_skies","bright_time_no_apogee_skies"," bright_time_no_apogee_skies","bright_time_no_apogee_skies"};mixed2_single_no_apogee_skies_18x1;_v2 
